iter	Passed	Remaining
173	8990	16844
174	9038	16786
175	9088	16731
176	9145	16689
177	9204	16651
178	9274	16631
179	9323	16575
180	9377	16527
181	9424	16467
182	9472	16408
183	9516	16344
184	9576	16306
185	9624	16248
186	9673	16191
187	9738	16162
188	9813	16147
189	9880	16120
190	9937	16076
191	9993	16031
192	10061	16004
193	10128	15975
194	10220	15985
195	10302	15978
196	10344	15910
197	10388	15845
198	10437	15787
199	10488	15733
200	10535	15671
201	10580	15608
202	10652	15585
203	10707	15536
204	10756	15478
205	10811	15429
206	10861	15373
207	10916	15324
208	10967	15271
209	11015	15212
210	11075	15169
211	11134	15126
212	11191	15079
213	11251	15036
214	11303	14983
215	11355	14930
216	11396	14862
217	11446	14806
218	11494	14748
219	11539	14686
220	11592	14634
221	11640	14577
222	11680	14508
223	11716	14436
224	11761	14374
225	11805	14313
226	11864	14268
227	11933	14236
228	11983	14181
229	12032	14125
230	12080	14067
231	12132	14014
232	12181	13958
233	12218	13889
234	12258	13823
235	12316	13777
236	12362	13718
237	12404	13655
238	12445	13591
239	12499	13541
240	12538	13474
241	12578	13410
242	12628	13355
243	12669	13292
244	12721	13240
245	12773	13188
246	12835	13147
247	12884	13092
248	12968	13072
249	13069	13069
250	13128	13024
251	13188	12978
252	13233	12920
253	13275	12856
254	13321	12799
255	13369	12743
256	13417	12686
257	13460	12625
258	13499	12561
259	13557	12514
260	13635	12485
261	13692	12438
262	13762	12401
263	13850	12381
264	13938	12360
265	14003	12318
266	14065	12274
267	14126	12228
268	14180	12177
269	14256	12144
270	14337	12115
271	14401	12072
272	14477	12038
273	14539	11992
274	14607	11951
275	14675	11910
276	14751	11875
277	14821	11835
278	14885	11791
279	14948	11745
280	15042	11723
281	15105	11677
282	15179	11639
283	15231	11584
284	15294	11538
285	15351	11487
286	15415	11440
287	15473	11390
288	15544	11349
289	15603	11299
290	15670	11254
291	15724	11200
292	15777	11146
293	15828	11090
294	15875	11032
295	15936	10983
296	15999	10935
297	16051	10880
298	16110	10830
299	16171	10780
300	16233	10732
301	16301	10687
302	16364	10639
303	16429	10592
304	16501	10550
305	16567	10503
306	16635	10458
307	16697	10408
308	16759	10359
309	16830	10315
310	16886	10262
311	16939	10206
312	16994	10153
313	17054	10102
314	17116	10052
315	17195	10012
316	17263	9965
317	17350	9930
318	17416	9881
319	17478	9831
320	17542	9782
321	17612	9736
322	17683	9690
323	17756	9645
324	17824	9598
325	17898	9553
326	17953	9498
327	18013	9446
328	18065	9389
329	18125	9337
330	18184	9284
331	18246	9232
332	18312	9183
333	18374	9132
334	18439	9082
335	18498	9028
336	18550	8972
337	18607	8918
338	18665	8864
339	18724	8811
340	18784	8758
341	18870	8718
342	18947	8672
343	19005	8618
344	19060	8563
345	19117	8509
346	19170	8452
347	19229	8398
348	19286	8344
349	19337	8287
350	19398	8234
351	19450	8178
352	19516	8127
353	19584	8077
354	19673	8035
355	19726	7979
356	19777	7921
357	19837	7868
358	19891	7812
359	19950	7758
360	20041	7716
361	20113	7667
362	20186	7618
363	20248	7565
364	20320	7515
365	20391	7465
366	20472	7419
367	20541	7368
368	20600	7313
369	20655	7257
370	20709	7200
371	20763	7144
372	20819	7088
373	20882	7035
374	20946	6982
375	21005	6927
376	21058	6870
377	21117	6815
378	21167	6758
379	21222	6701
380	21281	6646
381	21349	6594
382	21405	6538
383	21459	6482
384	21522	6428
385	21585	6374
386	21651	6322
387	21720	6269
388	21773	6213
389	21825	6155
390	21876	6098
391	21929	6041
392	21985	5985
393	22039	5929
394	22106	5876
395	22172	5823
396	22235	5768
397	22294	5713
398	22367	5661
399	22449	5612
400	22517	5559
401	22587	5506
402	22658	5453
403	22728	5400
404	22799	5348
405	22876	5296
406	22929	5239
407	22995	5185
408	23052	5129
409	23106	5072
410	23155	5014
411	23223	4960
412	23278	4903
413	23336	4847
414	23392	4791
415	23449	4734
416	23508	4679
417	23565	4622
418	23639	4569
419	23689	4512
420	23754	4457
421	23830	4404
422	23887	4348
423	23944	4291
424	24000	4235
425	24064	4180
426	24120	4123
427	24179	4067
428	24236	4011
429	24292	3954
430	24344	3897
431	24405	3841
432	24474	3787
433	24521	3729
434	24573	3671
435	24609	3612
436	24653	3554
437	24696	3495
438	24739	3437
439	24783	3379
440	24876	3328
441	24920	3270
442	24965	3212
443	25022	3155
444	25054	3096
445	25087	3037
446	25127	2979
447	25183	2923
448	25233	2866
449	25274	2808
450	25310	2749
451	25343	2691
452	25378	2633
453	25418	2575
454	25451	2517
455	25490	2459
456	25538	2402
457	25580	2345
458	25615	2288
459	25649	2230
460	25682	2172
461	25717	2115
462	25754	2058
463	25788	2000
464	25824	1943
465	25856	1886
466	25893	1829
467	25928	1772
468	25978	1717
469	26017	1660
470	26057	1604
471	26097	1548
472	26133	1491
473	26168	1435
474	26203	1379
475	26242	1323
476	26279	1267
477	26313	1211
478	26348	1155
479	26395	1099
480	26430	1044
481	26471	988
482	26729	940
483	26982	891
484	27181	840
485	27369	788
486	27636	737
487	27764	682
488	27861	626
489	27927	569
490	27980	512
491	28028	455
492	28091	398
493	28145	341
494	28211	284
495	28272	228
496	28349	171
497	28408	114
498	28463	57
499	28509	0
