iter	Logloss
0	0.6905936068
1	0.6877537731
2	0.6852970863
3	0.6831304398
4	0.6807098987
5	0.678499105
6	0.6766712148
7	0.6747928006
8	0.6731740324
9	0.6716401621
10	0.67010325
11	0.6687942503
12	0.6676578919
13	0.6664775311
14	0.6655207639
15	0.6644781673
16	0.6634526576
17	0.6625967999
18	0.6615034447
19	0.6607298347
20	0.6597082119
21	0.6588245229
22	0.658180563
23	0.6575480808
24	0.656645364
25	0.6561184604
26	0.6553831489
27	0.6546486169
28	0.6541095703
29	0.6536073805
30	0.6531925143
31	0.6528296446
32	0.6523649532
33	0.6518404888
34	0.651491318
35	0.6509800776
36	0.6505777398
37	0.6501514093
38	0.6497978033
39	0.649379015
40	0.6490182646
41	0.648711266
42	0.6484322457
43	0.648094735
44	0.6478404929
45	0.6475531784
46	0.6472060371
47	0.6469489533
48	0.6466578137
49	0.6463666949
50	0.6459891712
51	0.6456106358
52	0.6453358194
53	0.6451222852
54	0.6449457236
55	0.6447233125
56	0.6446309378
57	0.6445366867
58	0.6443120118
59	0.6441004637
60	0.6438600595
61	0.6436690942
62	0.6434394224
63	0.6433089023
64	0.6431772199
65	0.6430213136
66	0.6428876167
67	0.6427794328
68	0.6426614956
69	0.6425131383
70	0.6423178143
71	0.6421370719
72	0.6419731794
73	0.641795281
74	0.6417331618
75	0.6415970103
76	0.6414057025
77	0.6412394061
78	0.6410761502
79	0.6409155255
80	0.6408056369
81	0.6407106954
82	0.6404788695
83	0.6403918614
84	0.6402193942
85	0.6401215138
86	0.6399017346
87	0.6397844776
88	0.6396530288
89	0.6395503389
90	0.6394237763
91	0.6392146838
92	0.6391356583
93	0.6390269199
94	0.6389348716
95	0.6388740301
96	0.6387398948
97	0.638680192
98	0.6385903422
99	0.638503662
100	0.6383704049
101	0.6383123237
102	0.6382946114
103	0.6381770552
104	0.6380563967
105	0.6380231861
106	0.6379440355
107	0.6378464756
108	0.637702677
109	0.6376208245
110	0.6375619776
111	0.6375401516
112	0.6374428858
113	0.637354933
114	0.6372381062
115	0.6372180719
116	0.6371365205
117	0.6370165727
118	0.6369042661
119	0.6367423674
120	0.63661024
121	0.6365576957
122	0.6364873703
123	0.636391492
124	0.6363072916
125	0.6361422328
126	0.6361006785
127	0.6360223326
128	0.6360086396
129	0.6358896239
130	0.6358716612
131	0.6358543194
132	0.6358011508
133	0.6357171168
134	0.6356562648
135	0.6354609966
136	0.6353338025
137	0.6351987774
138	0.635101962
139	0.6350721205
140	0.6350432259
141	0.6349923979
142	0.634938838
143	0.6348760144
144	0.634819589
145	0.6347715425
146	0.6347446088
147	0.6346397478
148	0.6346061659
149	0.6345804719
150	0.6345272857
151	0.6344472051
152	0.6343579882
153	0.6342728594
154	0.6341627797
155	0.6341058226
156	0.6340010722
157	0.6339688876
158	0.6339533114
159	0.6339344363
160	0.6338465135
161	0.6338124354
162	0.6337415825
163	0.6337054046
164	0.6336035904
165	0.633557219
166	0.6334912485
167	0.6334318324
168	0.633294304
169	0.6331648346
170	0.6330373586
171	0.6330344484
172	0.6329948152
173	0.6329441682
174	0.6328748363
175	0.6328240866
176	0.6327342168
177	0.6326760316
178	0.6325850421
179	0.6325828947
180	0.6324547899
181	0.6324521041
182	0.63239916
183	0.6323897494
184	0.6323215857
185	0.6323215854
186	0.6322300412
187	0.6321844535
188	0.6321149473
189	0.6320541694
190	0.631991349
191	0.6319630074
192	0.6319153109
193	0.6318720714
194	0.6318347819
195	0.6317795926
196	0.6317479708
197	0.631742423
198	0.6316766774
199	0.6316453816
200	0.6315899025
201	0.6315718543
202	0.6315243341
203	0.631486433
204	0.6314425871
205	0.6313938658
206	0.6313612749
207	0.6313114647
208	0.6312264131
209	0.6312025054
210	0.6311595961
211	0.6311290948
212	0.6310562915
213	0.6309842684
214	0.6309502864
215	0.6308057516
216	0.6307854498
217	0.6307293207
218	0.6306435673
219	0.6306187854
220	0.6305053929
221	0.6304399947
222	0.6303538169
223	0.6302832213
224	0.6302564725
225	0.6302527422
226	0.6302335084
227	0.6301797166
228	0.6301654009
229	0.630124018
230	0.6300298705
231	0.6299531794
232	0.6299299282
233	0.6296836093
234	0.6295959433
235	0.629562328
236	0.6295569878
237	0.6295014068
238	0.6294789922
239	0.6293876801
240	0.6293618333
241	0.6292530249
242	0.6291806179
243	0.6291549149
244	0.6291256855
245	0.6290387993
246	0.6289785718
247	0.6288737917
248	0.6288021533
249	0.6286382681
250	0.6285123353
251	0.6283873617
252	0.6282916748
253	0.6280933051
254	0.627985829
255	0.6279276011
256	0.6278469449
257	0.6277266804
258	0.6276715523
259	0.6275233845
260	0.6274257194
261	0.6273020772
262	0.6271170823
263	0.627034666
264	0.6269661408
265	0.6268679432
266	0.6267493136
267	0.6266365947
268	0.6265382166
269	0.6264409725
270	0.6263781597
271	0.6263266714
272	0.626205907
273	0.6261013119
274	0.6260135786
275	0.6258217135
276	0.6257221518
277	0.6256419643
278	0.6254901761
279	0.6253597478
280	0.6252758439
281	0.6251235149
282	0.6250315345
283	0.6249283239
284	0.6248246694
285	0.6247526613
286	0.6246580137
287	0.6245593403
288	0.6244644023
289	0.6243688832
290	0.624268513
291	0.6242241006
292	0.6241264825
293	0.6240359835
294	0.6239519735
295	0.6238653175
296	0.6237898274
297	0.6237017828
298	0.6236158138
299	0.623433913
300	0.6233493328
301	0.6232483155
302	0.6231574231
303	0.6230359334
304	0.6229470485
305	0.6228420698
306	0.6227638521
307	0.6226763728
308	0.6225806911
309	0.6224970771
310	0.6224208188
311	0.6223201536
312	0.6222310165
313	0.6221598099
314	0.6220708259
315	0.6219889126
316	0.6218810476
317	0.6218142562
318	0.6217422197
319	0.6216692995
320	0.6215943988
321	0.6215102877
322	0.6214362111
323	0.6213739535
324	0.6212885025
325	0.6212084867
326	0.6211331961
327	0.6210235863
328	0.6209395422
329	0.6208720702
330	0.6207957477
331	0.6207274229
332	0.6206156564
333	0.620545622
334	0.6204837382
335	0.6204255892
336	0.6203488743
337	0.6202691905
338	0.6201738094
339	0.620025819
340	0.6199634375
341	0.619826055
342	0.619731417
343	0.6196532922
344	0.6195639665
345	0.6194913525
346	0.6194321905
347	0.6193157369
348	0.6192363152
349	0.6191368323
350	0.6190782115
351	0.6189881436
352	0.6189045089
353	0.6188421684
354	0.6187432292
355	0.6186645142
356	0.6185840114
357	0.6185120932
358	0.6184641771
359	0.6184001646
360	0.6183044148
361	0.6182533265
362	0.6181747013
363	0.6181251456
364	0.6180653762
365	0.6179803158
366	0.6179059875
367	0.6178366259
368	0.6177753863
369	0.61772071
370	0.6176579317
371	0.617594136
372	0.617521717
373	0.6174403219
374	0.6173528993
375	0.6172601739
376	0.6171855398
377	0.6171268889
378	0.6170990446
379	0.6170147656
380	0.6169455171
381	0.6168728989
382	0.6168016184
383	0.6167482786
384	0.6166273238
385	0.6165129324
386	0.6164331007
387	0.6163457626
388	0.6162560697
389	0.6161925486
390	0.6161234251
391	0.6160156011
392	0.6159328404
393	0.6158732113
394	0.6158177282
395	0.6157590479
396	0.6156755956
397	0.6156051696
398	0.6155491874
399	0.6154826817
400	0.6154346435
401	0.6153744317
402	0.6153096636
403	0.6152287904
404	0.6151698335
405	0.6151209075
406	0.6150629035
407	0.6150078224
408	0.6149374466
409	0.6149132882
410	0.6148406381
411	0.6147614496
412	0.614683046
413	0.6145735336
414	0.6145198644
415	0.6144106894
416	0.614341677
417	0.6142898745
418	0.614231153
419	0.6141580819
420	0.6140795825
421	0.6139902252
422	0.6139392446
423	0.6138714549
424	0.6138045729
425	0.6137494233
426	0.6136863981
427	0.6136146869
428	0.6135649966
429	0.6134922584
430	0.6134261424
431	0.6133452686
432	0.6132739069
433	0.6132104354
434	0.6131514231
435	0.6130909475
436	0.6130377025
437	0.612968861
438	0.6129090194
439	0.6128528691
440	0.6127721696
441	0.6127011492
442	0.6126223181
443	0.6125605398
444	0.6124890299
445	0.6124229768
446	0.612373978
447	0.6123552064
448	0.6123029104
449	0.612214493
450	0.612155582
451	0.6120904308
452	0.6119989597
453	0.6119397748
454	0.6118579223
455	0.6117764298
456	0.6117050309
457	0.6116638205
458	0.6116008854
459	0.6115230417
460	0.6114722309
461	0.6114241548
462	0.6113641334
463	0.6113021553
464	0.6112434389
